cf_id,contact_id,company_name,description,goal,pledged,outcome,backers_count,country,currency,launch_date,end_date,category_id,subcategory_id
147,4661,"Baldwin, Riley and Jackson",Pre-emptive tertiary standardization,100,0,failed,0,CA,CAD,2/13/2020,3/1/2021,cat01,scat01
1175,3765,Werner-Bryant,Virtual uniform frame,1800,7991,successful,222,US,USD,6/20/2020,1/30/2021,cat01,scat01
873,4187,Stewart LLC,Cloned bi-directional architecture,1300,12047,successful,113,US,USD,11/29/2020,6/11/2021,cat01,scat01
2568,4941,Castillo-Carey,Cross-platform solution-oriented process improvement,142400,21307,failed,296,US,USD,5/5/2020,5/30/2021,cat01,scat01
1211,2199,"Wright, Hartman and Yu",User-friendly tertiary array,3300,12437,successful,131,US,USD,1/29/2021,2/13/2021,cat01,scat01
990,5650,Morgan-Martinez,Mandatory tertiary implementation,148500,4756,canceled,55,AU,AUD,3/23/2021,12/6/2021,cat01,scat01
2228,5889,Alexander-Williams,Triple-buffered cohesive structure,7200,6927,failed,210,US,USD,4/17/2021,7/8/2021,cat01,scat01
509,4842,Mcknight-Freeman,Upgradable scalable methodology,8300,6543,canceled,82,US,USD,8/13/2020,4/22/2021,cat01,scat01
966,3280,Huff LLC,Face-to-face clear-thinking Local Area Network,121500,119830,failed,2179,US,USD,4/10/2021,10/1/2021,cat01,scat01
2765,5468,Ho-Harris,Versatile cohesive encoding,7300,717,failed,10,US,USD,12/1/2020,9/28/2021,cat01,scat01
524,3064,Ramsey and Sons,Grass-roots contextually-based algorithm,3800,1954,failed,49,US,USD,11/23/2021,2/5/2022,cat01,scat01
2991,4904,Martin-Marshall,Configurable demand-driven matrix,9600,6401,failed,108,IT,EUR,12/19/2020,10/6/2021,cat01,scat01
2049,1299,Rose-Silva,Intuitive static portal,3300,14643,successful,190,US,USD,1/30/2021,6/25/2021,cat01,scat01
553,5602,Hensley Ltd,Versatile cohesive open system,199000,142823,failed,3483,US,USD,7/27/2021,11/21/2021,cat01,scat01
1559,5753,Baker Ltd,Progressive intangible flexibility,6300,14199,successful,189,US,USD,4/18/2021,12/22/2021,cat01,scat01
2201,4495,Davis and Sons,Innovative human-resource migration,188200,159405,failed,5497,US,USD,5/1/2021,8/28/2021,cat01,scat01
1003,4269,Jones-Riddle,Self-enabling real-time definition,147800,15723,failed,162,US,USD,10/19/2020,7/20/2021,cat01,scat01
343,2226,Perry and Sons,Configurable static help-desk,3100,9889,successful,194,GB,GBP,3/4/2021,1/1/2022,cat01,scat01
3153,1558,Long-Greene,Future-proofed heuristic encryption,2400,12310,successful,173,GB,GBP,7/27/2020,8/21/2021,cat01,scat01
37,2307,Landry Inc,Synergistic cohesive adapter,29600,77021,successful,1572,GB,GBP,6/19/2021,6/24/2021,cat01,scat01
1067,2900,Henson PLC,Universal contextually-based knowledgebase,56800,173437,successful,2443,US,USD,7/24/2021,8/8/2021,cat01,scat01
3019,5695,Ramirez LLC,Multi-tiered maximized orchestration,5900,6608,successful,78,US,USD,4/5/2021,6/12/2021,cat01,scat01
2654,5708,"Thomas, Welch and Santana",Assimilated exuding toolset,9800,7120,failed,77,US,USD,1/13/2021,5/5/2021,cat01,scat01
76,1663,"Parker, Haley and Foster",Adaptive local task-force,2700,9967,successful,144,US,USD,6/25/2020,5/27/2021,cat01,scat01
2313,3605,Williams-Santos,Open-source analyzing monitoring,9400,6852,failed,156,CA,CAD,1/15/2021,4/8/2021,cat01,scat01
349,4678,Brown-George,Cross-platform tertiary array,100,5,failed,1,GB,GBP,4/20/2021,6/30/2021,cat01,scat01
766,2251,"Gordon, Mendez and Johnson",Fundamental needs-based frame,137600,180667,successful,2230,US,USD,8/29/2020,8/5/2021,cat01,scat01
427,6202,"Martin, Lee and Armstrong",Open-architected incremental ability,1600,11108,successful,154,GB,GBP,11/18/2020,8/5/2021,cat01,scat01
2931,3715,Vargas-Cox,Vision-oriented local contingency,98600,62174,canceled,723,US,USD,5/6/2021,6/22/2021,cat01,scat01
2467,4242,"Hobbs, Brown and Lee",Vision-oriented systematic Graphical User Interface,118400,49879,failed,504,AU,AUD,2/7/2021,6/11/2021,cat01,scat01
1814,4326,Davis Ltd,Synchronized motivating solution,1400,14511,successful,363,US,USD,10/11/2020,4/5/2021,cat01,scat01
2499,5560,"Stafford, Hess and Raymond",Optional web-enabled extranet,2100,540,failed,6,US,USD,9/23/2021,1/18/2022,cat01,scat01
3098,4002,"Harris, Medina and Mitchell",Enhanced regional flexibility,5200,1583,failed,19,US,USD,1/2/2021,5/11/2021,cat01,scat01
2978,3813,"Miller, Glenn and Adams",Distributed actuating project,4700,11174,successful,110,US,USD,3/22/2021,6/9/2021,cat01,scat01
1387,5336,Williams and Sons,Profound composite core,2400,8558,successful,158,US,USD,6/29/2021,10/21/2021,cat01,scat01
1439,4994,"Ayala, Crawford and Taylor",Realigned 5thgeneration knowledge user,4000,2778,failed,35,US,USD,2/16/2021,1/17/2022,cat01,scat01
2948,1471,"Kane, Pruitt and Rivera",Cross-platform next generation service-desk,4800,7797,successful,300,US,USD,11/23/2021,1/14/2022,cat01,scat01
2734,4482,Estrada Group,Multi-lateral uniform collaboration,163600,126628,failed,1229,US,USD,11/8/2020,1/22/2021,cat01,scat01
2599,3241,Wright-Bryant,Reverse-engineered client-server extranet,19800,153338,successful,1460,AU,AUD,6/20/2020,5/23/2021,cat01,scat01
1447,3477,Brown-Oliver,Synchronized cohesive encoding,8700,1577,failed,15,US,USD,11/23/2021,12/6/2021,cat01,scat01
1437,2265,"Peterson, Gonzalez and Spencer",Synchronized fault-tolerant algorithm,7500,11969,successful,114,US,USD,9/16/2020,7/10/2021,cat01,scat01
3209,5911,"Harris, Russell and Mitchell",User-centric cohesive policy,3600,10657,successful,266,US,USD,1/21/2021,11/2/2021,cat01,scat01
1755,2288,Gonzalez-White,Open-architected disintermediate budgetary management,2400,8117,successful,114,US,USD,12/21/2020,10/27/2021,cat01,scat01
1432,4064,Johnson Group,Vision-oriented interactive solution,7000,5177,failed,67,US,USD,4/22/2021,1/8/2022,cat01,scat01
2986,1294,Manning-Hamilton,Vision-oriented scalable definition,97300,153216,successful,2043,US,USD,12/29/2020,5/30/2021,cat01,scat01
1788,5008,"Hernandez, Norton and Kelley",Expanded eco-centric policy,111100,62819,canceled,1122,US,USD,12/30/2020,8/18/2021,cat01,scat01
1621,3604,Odom Inc,Managed bottom-line architecture,1400,14560,successful,158,US,USD,1/25/2021,5/25/2021,cat02,scat02
2156,3263,"Mcdonald, Gonzalez and Ross",Vision-oriented fresh-thinking conglomeration,4200,2477,failed,24,US,USD,10/21/2021,1/17/2022,cat02,scat02
2502,5631,"Best, Carr and Williams",Diverse transitional migration,2000,1599,failed,15,US,USD,1/8/2021,10/15/2021,cat02,scat02
3122,2851,Watts Group,Universal 5thgeneration neural-net,5600,11924,successful,111,IT,EUR,3/17/2021,7/8/2021,cat02,scat02
1482,3714,"Vaughn, Hunt and Caldwell",Virtual grid-enabled task-force,3700,4247,successful,92,US,USD,5/23/2021,9/23/2021,cat02,scat02
2389,1664,Casey-Kelly,Sharable holistic interface,7200,13653,successful,303,US,USD,1/25/2021,1/30/2022,cat02,scat02
1610,5027,"Gomez, Bailey and Flores",User-friendly static contingency,16800,37857,successful,411,US,USD,11/1/2020,3/4/2021,cat02,scat02
2311,3070,Farrell and Sons,Synergized 4thgeneration conglomeration,198500,123040,failed,1482,AU,AUD,8/23/2020,3/24/2021,cat02,scat02
2404,4248,Allen-Curtis,Phased human-resource core,70600,42596,canceled,532,US,USD,9/13/2020,9/17/2021,cat02,scat02
2588,2034,"Brown, Palmer and Pace",Networked stable workforce,100,1,failed,1,US,USD,1/21/2021,7/11/2021,cat02,scat02
174,4085,Meza-Rogers,Streamlined encompassing encryption,36400,26914,canceled,379,AU,AUD,11/24/2020,12/26/2021,cat02,scat02
2824,3569,Carlson Inc,Ergonomic fresh-thinking installation,2100,4640,successful,41,US,USD,12/28/2020,11/24/2021,cat02,scat02
2427,3889,"Keith, Alvarez and Potter",Extended bottom-line open architecture,6100,9134,successful,157,CH,CHF,9/5/2021,12/16/2021,cat02,scat02
1134,3136,"Rogers, Huerta and Medina",Pre-emptive bandwidth-monitored instruction set,5100,3525,failed,86,CA,CAD,4/16/2020,3/2/2021,cat02,scat02
611,2103,"Long, Morgan and Mitchell",Upgradable 4thgeneration productivity,42600,8517,failed,243,US,USD,11/7/2020,6/16/2021,cat02,scat02
777,2329,"Hull, Baker and Martinez",Digitized reciprocal infrastructure,1800,968,failed,13,US,USD,3/14/2020,3/13/2021,cat02,scat02
805,3325,Carney-Anderson,Digitized 5thgeneration knowledgebase,1000,4257,successful,43,US,USD,12/25/2020,8/29/2021,cat02,scat02
2159,3131,Sullivan Group,Open-source fresh-thinking policy,1400,14324,successful,165,US,USD,6/1/2021,7/24/2021,cat02,scat02
894,4995,Fox-Quinn,Enterprise-wide reciprocal success,67800,176398,successful,5880,US,USD,10/14/2020,2/28/2021,cat02,scat02
1760,3631,Gallegos-Cobb,Object-based directional function,39500,4323,failed,57,AU,AUD,1/21/2021,12/1/2021,cat02,scat02
1955,5373,"Hill, Martin and Garcia",Sharable scalable core,8400,10729,successful,250,US,USD,8/22/2020,3/1/2021,cat02,scat02
2635,3126,Robbins and Sons,Future-proofed directional synergy,100,3,failed,1,US,USD,9/16/2020,2/27/2021,cat02,scat02
614,2194,"Rosales, Branch and Harmon",Upgradable grid-enabled superstructure,80500,96735,successful,1697,US,USD,11/3/2020,9/27/2021,cat02,scat02
1792,2906,Smith-Reid,Optimized actuating toolset,4100,959,failed,15,GB,GBP,11/3/2020,10/17/2021,cat02,scat02
1204,2611,Allen-Jones,Centralized modular initiative,6300,9935,successful,261,US,USD,7/15/2021,10/12/2021,cat02,scat02
669,2374,Mason-Smith,Reverse-engineered cohesive migration,84300,26303,failed,454,US,USD,8/4/2021,9/13/2021,cat02,scat02
2741,3254,Lucas-Mullins,Business-focused dynamic instruction set,8100,1517,failed,29,DK,DKK,5/27/2020,3/20/2021,cat02,scat02
641,3571,"Chase, Garcia and Johnson",Adaptive intangible database,3500,5037,successful,72,US,USD,5/20/2021,6/21/2021,cat02,scat02
336,2812,Miller-Irwin,Secured maximized policy,2200,8697,successful,223,US,USD,11/26/2021,12/2/2021,cat02,scat02
341,3961,"Young, Hart and Ryan",Decentralized demand-driven open system,5700,903,failed,17,US,USD,7/29/2021,9/25/2021,cat02,scat02
3004,3872,Young PLC,Innovative well-modulated functionalities,98700,131826,successful,2441,US,USD,9/1/2020,5/3/2021,cat02,scat02
1194,4736,Mcgee Group,Assimilated discrete algorithm,66200,123538,successful,1113,US,USD,6/27/2020,5/4/2021,cat02,scat02
3176,5119,Jordan-Acosta,Operative uniform hub,173800,198628,successful,2283,US,USD,2/27/2020,2/12/2021,cat02,scat02
642,5725,Nunez Inc,Customizable intangible capability,70700,68602,failed,1072,US,USD,11/6/2020,7/21/2021,cat02,scat02
2005,4037,Young LLC,Universal maximized methodology,74100,94631,successful,2013,US,USD,9/12/2021,10/5/2021,cat02,scat02
2612,2109,Lawrence Group,Automated actuating conglomeration,3700,13755,successful,191,US,USD,4/23/2021,1/26/2022,cat02,scat02
807,3283,Gray-Davis,Re-contextualized local initiative,5200,8330,successful,139,US,USD,3/12/2021,10/7/2021,cat02,scat02
2889,6181,Perry PLC,Mandatory uniform matrix,3400,12275,successful,131,US,USD,6/23/2020,5/10/2021,cat02,scat02
2592,3251,Jones-Martin,Virtual systematic monitoring,8100,14083,successful,454,US,USD,9/21/2020,2/11/2021,cat02,scat02
1237,3443,Stewart LLC,Secured asymmetric projection,135600,62804,failed,714,US,USD,2/11/2021,5/9/2021,cat02,scat02
305,2988,Padilla-Porter,Innovative exuding matrix,148400,182302,successful,6286,US,USD,12/31/2020,8/20/2021,cat02,scat02
2090,1673,"Turner, Young and Collins",Self-enabling clear-thinking framework,153800,60342,failed,575,US,USD,10/28/2020,2/27/2021,cat02,scat02
3136,2085,Smith-Miller,De-engineered cohesive moderator,7500,6924,failed,62,IT,EUR,4/8/2021,5/19/2021,cat02,scat02
1883,1672,"Sanchez, Bradley and Flores",Centralized motivating capacity,138700,31123,canceled,528,CH,CHF,1/30/2021,10/19/2021,cat02,scat02
1898,4426,Marsh-Coleman,Exclusive asymmetric analyzer,177700,180802,successful,1773,US,USD,9/25/2020,3/23/2021,cat02,scat02
1859,3211,Taylor Inc,Public-key 3rdgeneration system engine,2800,7742,successful,84,US,USD,8/2/2020,5/24/2021,cat02,scat02
2215,3190,"Dougherty, Austin and Mills",De-engineered 5thgeneration contingency,170600,75022,failed,1028,US,USD,12/11/2020,5/26/2021,cat02,scat02
2470,2081,Anderson Group,Organic maximized database,6300,14089,successful,135,DK,DKK,5/9/2020,5/1/2021,cat02,scat02
2918,3185,Blair Inc,Configurable bandwidth-monitored throughput,9900,1269,failed,26,CH,CHF,2/5/2021,11/4/2021,cat02,scat02
304,5044,Johns PLC,Distributed high-level open architecture,6800,14865,successful,244,US,USD,11/1/2020,6/12/2021,cat02,scat02
1654,1883,Martinez-Juarez,Realigned uniform knowledge user,31200,95364,successful,2725,US,USD,6/7/2021,10/31/2021,cat02,scat02
913,2067,Clements Group,Assimilated actuating policy,9000,4896,canceled,94,US,USD,2/10/2021,4/8/2021,cat02,scat02
3145,4604,Rowe-Wong,Robust hybrid budgetary management,700,6654,successful,130,US,USD,7/16/2021,12/17/2021,cat02,scat02
653,3203,"Martinez, Garza and Young",Up-sized web-enabled info-mediaries,108500,175868,successful,2409,IT,EUR,1/6/2021,10/27/2021,cat02,scat02
1758,5758,Valencia PLC,Extended asynchronous initiative,3400,6405,successful,160,GB,GBP,5/13/2021,8/21/2021,cat02,scat02
507,5755,"Ferguson, Murphy and Bright",Multi-lateral heuristic throughput,192100,178483,failed,4697,US,USD,4/25/2021,10/10/2021,cat02,scat02
1016,5150,"Howell, Myers and Olson",Self-enabling mission-critical success,52600,31594,canceled,390,US,USD,4/24/2021,8/5/2021,cat02,scat02
3182,4181,Murray Ltd,Decentralized 4thgeneration challenge,6000,5438,failed,77,GB,GBP,11/19/2020,10/20/2021,cat02,scat02
2205,3006,"Cardenas, Thompson and Carey",Configurable full-range emulation,9200,12322,successful,196,IT,EUR,4/10/2021,4/20/2021,cat02,scat02
2285,4865,Evans-Jones,Switchable methodical superstructure,38500,182036,successful,1785,US,USD,3/15/2021,9/22/2021,cat02,scat02
1780,2862,Dominguez-Owens,Open-architected systematic intranet,123600,5429,canceled,60,US,USD,7/16/2021,8/17/2021,cat02,scat02
1069,6070,"Glass, Baker and Jones",Business-focused 24hour access,117000,107622,failed,1121,US,USD,5/24/2021,12/31/2021,cat02,scat02
2505,5300,Logan-Miranda,Proactive systemic firmware,29600,167005,successful,1518,CA,CAD,11/2/2021,11/10/2021,cat02,scat02
2782,3486,Mitchell-Lee,Customizable leadingedge model,2200,14420,successful,166,US,USD,7/3/2021,7/22/2021,cat02,scat02
2464,5989,Shaffer-Mason,Managed bandwidth-monitored system engine,1100,8010,successful,148,US,USD,9/27/2021,11/24/2021,cat02,scat02
864,2849,Murphy LLC,Customer-focused non-volatile framework,9400,968,failed,10,US,USD,2/21/2021,6/16/2021,cat02,scat02
988,1612,"Vega, Chan and Carney",Down-sized systematic utilization,7400,10451,successful,138,US,USD,4/18/2021,11/18/2021,cat02,scat02
1707,3307,Vance-Glover,Progressive coherent secured line,61200,60994,failed,859,CA,CAD,2/27/2021,11/6/2021,cat02,scat02
415,5288,Welch Inc,Optional optimal website,6600,8276,successful,110,US,USD,10/6/2021,12/18/2021,cat02,scat02
751,6026,Wallace LLC,Centralized regional function,100,1,failed,1,CH,CHF,6/17/2021,7/16/2021,cat02,scat02
1698,2212,English-Mccullough,Business-focused discrete software,2600,6987,successful,218,US,USD,5/31/2021,9/19/2021,cat02,scat02
2139,4591,Vincent PLC,Visionary 24hour analyzer,3200,2950,failed,36,DK,DKK,8/13/2021,12/26/2021,cat02,scat02
2442,2771,Watson-Douglas,Centralized bandwidth-monitored leverage,9000,11721,successful,183,CA,CAD,3/29/2021,11/27/2021,cat02,scat02
198,5682,"Valdez, Williams and Meyer",Cross-group heuristic forecast,1500,12009,successful,279,GB,GBP,2/13/2021,12/4/2021,cat02,scat02
2136,5368,Stewart and Sons,Distributed optimizing protocol,54000,188982,successful,2100,US,USD,2/17/2020,1/7/2021,cat02,scat02
3200,3706,Dyer Inc,Secured well-modulated system engine,4100,14640,successful,252,US,USD,1/1/2021,4/5/2021,cat02,scat02
1719,4034,"Hood, Perez and Meadows",Cross-group upward-trending hierarchy,100,1,failed,1,US,USD,4/4/2020,3/11/2021,cat02,scat02
1372,3209,Mueller-Harmon,Implemented tangible approach,7900,5465,failed,67,US,USD,12/25/2020,12/16/2021,cat02,scat02
1226,2384,Hogan Group,Versatile bottom-line definition,5600,8746,successful,159,US,USD,5/1/2021,1/18/2022,cat02,scat02
